"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
427,"id_146",0.44,0.28,1.6,1.71,21.45,14.35,96,1.8,2.2,"SAND",92,2.8,5.2,"SAND",24.4335995,-16.552437,22.0499998728434,719,2
428,"id_148",2.28,0.52,1.4,1.77,93.57,27.57,76.4,10.4,13.2,"SANDY LOAM",86.4,4.4,9.2,"LOAMY SAND",24.3100629,-16.7017446,22.1000000635783,705,0
429,"id_150",1.36,0.2,1.2,1.6,47.01,9.62,76.4,8.4,15.2,"SANDY LOAM",94.4,2.4,3.2,"SAND",24.2169133,-16.7771062,22.1750001907349,692,2
430,"id_155",0.36,0.24,1.7,1.66,18.18,11.93,94.4,4.4,1.2,"SAND",92.4,6.4,1.2,"SAND",24.4270995,-16.5545497,22.0499998728434,718,1
431,"id_169",2.16,0.12,1.6,1.87,103.98,6.72,84.4,8.4,7.2,"LOAMY SAND",96.4,2.4,1.2,"SAND",24.1980311,-16.7981818,22.1583336194356,696,1
432,"id_185",1.2,0.4,1.7,1.73,60.87,20.71,90.4,4.4,5.2,"SAND",92.4,3.4,4.2,"SAND",24.2110064,-16.7837427,22.2166666984558,691,0
433,"id_212",0.88,0.08,1.6,1.91,41.73,4.57,84.4,3.4,12.2,"LOAMY SAND",92.4,2.4,5.2,"SAND",24.2186526,-16.7779045,22.1750001907349,692,2
434,"id_228",0.2,0.36,1.6,1.66,9.76,17.95,96.4,1.4,2.2,"SAND",96.4,2.4,1.2,"SAND",24.3432716,-16.7822499,21.9333333969116,708,2
435,"id_261",0.52,0.28,1.6,1.52,24.35,12.8,94.4,2.4,3.2,"SAND",96.4,2.4,1.2,"SAND",24.3379622,-16.7661302,21.9083333015442,711,5
436,"id_345",0.8,0.24,1.1,1.5,25.73,10.81,76,12.4,11.6,"SANDY LOAM",88,6.4,5.6,"LOAMY SAND",25.1598702,-17.3642822,23.524999777476,654,4
437,"id_354",1.04,0.8,1.6,1.22,51.32,29.35,64,18.4,17.6,"SANDY LOAM",52,42.4,5.6,"SANDY CLAY",25.1561322,-17.191738,23.266666730245,667,9
438,"id_357",1,0.4,1.4,1.58,41.57,19,74,16.4,9.6,"SANDY LOAM",40,54.4,5.6,"CLAY",25.1020611,-17.3196722,23.4083334604899,673,8
439,"id_358",1.16,0.72,1.3,1.32,44.81,28.58,74,14.4,11.6,"SANDY LOAM",72,18.4,9.6,"SANDY LOAM",25.0902987,-17.3274726,23.4416667620341,653,8
