"Year","Date","Site","Habitat","Land_class","Burned","Vegetation","Wet_biomass.g.","Dry_biomass.g.","Biomass.g.m2.","Sand...","Notes","MAT","MAP","Fire_frequency","SOC_conc30","SOC_conc70","Section_dry_weight30","Section_dry_weight70","BD30","BD70","SOC_stock30","SOC_stock70","SOC_stock_1m","lon","lat"
2022,2022-10-26,"MA0","woodland","woodland","Unburned","BARE",0,0,0,95,NA,21.7333335876465,724,6,0.429,0.117,1605,4195,1.39016970700676,1.55721279596618,17.891484129177,12.753572798963,30.64505692814,24.5895448390412,-16.6184811570567
2022,2022-11-04,"MA1","woodland","woodland","Late","ANNUALS",0,0,0,90,NA,21.875,703,1,0.195,0.078,1208,2866.5,1.04630841499325,1.06406447667153,6.12090422771051,5.80979204262655,11.9306962703371,24.5141242195202,-16.8785898147286
2022,2022-10-10,"MA2","dambo woodland","woodland","Late","ANNUALS",0,0,0,75,NA,24.0666675567627,642,5,1.326,1.17,1084.5,2525.5,0.939338970248493,0.937482935926721,37.366904236485,76.7798524523985,114.146756688883,25.1746505985855,-17.5908187838674
2022,2022-10-18,"MA3","woodland","woodland","Unburned","MIXTURE",0,0,0,90,NA,22.5666675567627,678,3,0.39,0.156,2023.5,3815,1.75265321004871,1.41615418751156,20.5060425575699,15.4644037276262,35.9704462851961,24.997774709621,-17.0666570416662
2022,2022-11-05,"MA4","cropland",NA,"Unburned","ANNUALS",0,0,0,85,NA,21.7999992370605,691,2,0.156,0.078,1080,2760.5,0.935441298172773,1.02471654904998,4.37786527544858,5.59495235781287,9.97281763326144,24.5609328283618,-17.0178865911624
2022,2022-11-07,"MA5","grassland","grassland","Early","MIXTURE",0,0,0,95,NA,21.716667175293,663,5,0.312,0.117,1196,3857,1.03591462279133,1.43174487581444,9.69616086932685,11.7259905329202,21.4221514022471,24.3951573550803,-17.3186975725514
2022,2022-11-16,"MA6","woodland","woodland","Unburned","ANNUALS",0,0,0,90,NA,21.908332824707,702,1,0.195,0.078,1206,2464.5,1.04457611629293,0.91483931720111,6.11077028031364,4.99502267191806,11.1057929522317,24.4277574761994,-16.8574993799778
2022,2022-11-02,"MA8","woodland","woodland","Late","ANNUALS",0,0,0,90,NA,21.8583335876465,687,7,0.351,0.195,1170,2634.5,1.01339473968717,0.977944484141337,10.6710466089059,13.3489422085293,24.0199888174352,24.5746819845528,-17.0771975235947
2022,2022-10-20,"MA9","woodland","woodland","Unburned","ANNUALS",0,0,0,90,NA,23.4499988555908,672,NA,0.624,0.39,1829.5,3009.5,1.58462023611767,1.11714705827419,29.6640908201228,30.4981146908854,60.1622055110082,24.9986597705873,-17.3790701310009
2022,2022-10-10,"MA10","woodland","woodland","Unburned","MIXTURE",30,28,448,95,NA,23.8333339691162,632,1,1.17,0.429,1903.5,4462.5,1.64871528802951,1.65651063218095,57.8699066098359,49.745014284394,107.61492089423,25.1849815138283,-17.5250284441244
2022,2022-11-14,"MA11","woodland","woodland","Unburned","ANNUALS",12,10,160,95,NA,21.8999996185303,689,2,0.546,0.312,1446.5,4054,1.2528850350064,1.50487262809223,20.5222568734049,32.8664181975343,53.3886750709392,24.1757483781819,-16.9831739183027
2022,2022-11-05,"MA12","grassland","grassland","Unburned","ANNUALS",0,0,0,85,NA,22.0666675567627,691,NA,0.312,0.117,1079,2626,0.934575148822613,0.974789225794326,8.74762339297965,7.98352375925553,16.7311471522352,24.5183122633572,-16.949916331414
2022,2022-10-31,"MA13","woodland","woodland","Late","BARE",0,0,0,95,NA,21.658332824707,730,1,0.273,0.156,1852,4439,1.60410859649627,1.64778727086863,13.1376494053045,17.9938369978854,31.1314864031899,24.6979262301903,-16.6060699926202
2022,2022-11-02,"MA14","shrub",NA,"Late","ANNUALS",0,0,0,100,NA,21.8999996185303,678,2,0.507,0.273,574.5,4443,0.497602801666905,1.64927209832604,7.56853861335363,31.5175897990107,39.0861284123643,24.5340976046855,-17.10890880143
2022,2022-10-25,"MA15","woodland","woodland","Late","PERENNIALS",0,0,0,95,NA,22.2749996185303,694,1,0.312,0.195,1388,4057.5,1.20221529802204,1.50617185211747,11.2527351894863,20.5592457814035,31.8119809708898,25.0890962795923,-16.9259808052158
2022,2022-10-24,"MA16","woodland","woodland","Late","BARE",0,0,0,95,NA,21.8500003814697,714,5,0.78,0.507,2137.5,4525,1.85139423596695,1.67971106120309,43.3226251216265,59.6129455620978,102.935570683724,24.8155747179115,-16.8022999363474
2022,2022-10-07,"MA17","grassland","grassland","Unburned","PERENNIALS",20.33,18.33,293.33,90,NA,22.4750003814697,644,6,0.312,0.117,1816,4177.5,1.57292721989051,1.55071667583998,14.7225987781752,12.7003695751295,27.4229683533047,24.6119238047741,-17.3941316781111
2022,2022-10-12,"MA18","woodland","woodland","Early","ANNUALS",0,0,0,80,NA,23.216667175293,677,NA,0.546,0.39,1713.5,3102.5,1.48414691149912,1.15166929665914,24.3103264103555,31.4405717987945,55.75089820915,25.0973987156266,-17.2568412269607
2022,2022-10-31,"MA19","woodland","woodland","Late","MIXTURE",0,0,0,95,NA,21.7250003814697,727,4,0.819,0.585,1863.5,4234,1.61406931402311,1.571689863676,39.6576830455479,64.3606999175322,104.01838296308,24.6559039123845,-16.6171360286929
2022,2022-11-05,"MA20","woodland","woodland","Late","ANNUALS",0,0,0,85,NA,21.8833332061768,695,6,0.624,0.468,1112.5,3399.5,0.963591152052972,1.26191773537236,18.0384263664316,41.3404250107984,59.3788513772301,24.5707861679786,-16.9869318152522
